temperature,volume,error
1,23774.388560933337,0.0524947005956561
2,23776.324655433335,0.08948626318216049
3,23777.900901033336,0.1243961532200168
4,23778.19589406667,0.14897003805428882
5,23778.778910033332,0.17667659101961258
6,23782.1133344,0.21115717882852214
7,23781.045722433337,0.19446781128063365
8,23783.627581966666,0.2992927560444023
9,23783.40606803333,0.31942260796979527
10,23783.818005000005,0.28247896606407247
11,23790.264083200003,0.3609684723949525
12,23791.973509800002,0.38927580792055744
13,23787.8465215,0.39461060972984985
14,23788.000969,0.30691315829930044
15,23788.692592299998,0.37141419938328996
16,23792.998014533332,0.5011673419567522
17,23792.654429066664,0.39129349519312173
18,23793.6194114,0.5125670032313484
19,23795.917879066667,0.509840040698251
20,23797.327082199994,0.4916422336929559
21,23796.870620800004,0.5380856232709695
22,23796.057080500002,0.5919708453751346
23,23796.069306533333,0.5448221554668313
24,23796.79478373333,0.6985620563446294
25,23789.8607128,0.9013405666741773
26,23790.587130833334,0.8233992591980638
27,23794.567805266666,0.9843064344210234
28,23798.480806966665,0.5759958591170707
29,23792.960858066665,0.974768643164135
30,23796.3291794,0.8645381470847533
31,23807.379544899995,0.8710550083750427
32,23792.687871566664,1.0972860257193577
33,23807.161340699997,0.9397068981688925
34,23804.185026900002,0.9776695925213192
35,23805.329379400002,0.8068359055105728
36,23800.893688366665,1.1493818798325917
37,23796.613128033332,1.0837030863876478
38,23814.7122877,0.9154667177410115
39,23816.5103165,0.9757332580957416
40,23816.4548186,0.8905307020027131
41,23817.386600166665,0.8734656016150514
42,23827.75243046667,0.7451784255789216
43,23821.003337599996,0.97126609952571
44,23810.0951762,1.1138314778006084
45,23817.68697416667,1.2905677148867107
46,23833.019793999996,0.9132178671566066
47,23833.881710833335,0.9961073996620976
48,23826.506446599997,1.084917641351142
49,23835.470440066663,1.1601331512161888
50,23836.835111633332,1.1592125795654686
51,23823.4270958,1.2503734114494824
52,23840.601344333336,1.14907822508464
53,23834.169548766666,1.3460341991118105
